CICLO,ID_RAMO,DESC_RAMO,EJERCIDO_MDP
2005,10,Economía,6441.4892
2005,11,Educación Pública,137371.32
2005,18,Energía,77435.001
2005,34,Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,27455.0527
2005,27,Función Pública,1466.8732
2005,4,Gobernación,5867.9618
2005,6,Hacienda y Crédito Público,31160.9053
2005,51,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,72449.1404
2005,22,Instituto Federal Electoral,6329.7557
2005,50,Instituto Mexicano del Seguro Social,211152.5196
2005,54,Luz y Fuerza del Centro,22892.3457
2005,13,Marina,9528.7874
2005,16,Medio Ambiente y Recursos Naturales,24402.1693
2005,28,Participaciones a Entidades Federativas y Municipios,278892.3585
2005,52,Petróleos Mexicanos,180885.4612
2005,3,Poder Judicial,21504.9395
2005,1,Poder Legislativo,6424.4975
2005,2,Presidencia de la República,1622.8125
2005,25,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",19416.1394
2005,17,Procuraduría General de la República,7572.2672
2005,39,Programa de Apoyos para el Fortalecimiento de las Entidades Federativas,46945.8966
2005,23,Provisiones Salariales y Económicas,25295.2352
2005,15,Reforma Agraria,3755.3133
2005,5,Relaciones Exteriores,5215.4592
2005,12,Salud,33705.4891
2005,36,Seguridad Pública,6976.9299
2005,14,Trabajo y Previsión Social,3344.6575
2005,32,Tribunal Federal de Justicia Fiscal y Administrativa,1051.2886
2005,31,Tribunales Agrarios,580.2427
2005,21,Turismo,2605.2168
2006,30,Adeudos de Ejercicios Fiscales Anteriores,19981.8262
2006,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",48779.0479
2006,19,Aportaciones a Seguridad Social,172376.1871
2006,33,Aportaciones Federales para Entidades Federativas y Municipios,311941.3382
2006,53,Comisión Federal de Electricidad,200098.6262
2006,35,Comisión Nacional de los Derechos Humanos,851.3704
2006,9,Comunicaciones y Transportes,41075.0477
2006,37,Consejería Jurídica del Ejecutivo Federal,104.1512
2006,38,Consejo Nacional de Ciencia y Tecnología,8611.6633
2006,7,Defensa Nacional,26987.7131
2006,20,Desarrollo Social,27458.255
2006,24,Deuda Pública,168071.0353
2006,10,Economía,9435.8009
2006,11,Educación Pública,151790.4038
2006,18,Energía,80447.117800000007
2006,34,Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,38600.0756
2006,27,Función Pública,1600.0287
2006,4,Gobernación,6629.2775
2006,6,Hacienda y Crédito Público,38023.8751
2006,51,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,79416.1203
2006,22,Instituto Federal Electoral,11801.4362
2006,50,Instituto Mexicano del Seguro Social,231443.397
2006,54,Luz y Fuerza del Centro,32407.125
2006,13,Marina,9998.3119
2006,16,Medio Ambiente y Recursos Naturales,29030.3769
2006,28,Participaciones a Entidades Federativas y Municipios,329337.3406
2006,52,Petróleos Mexicanos,213981.4667
2006,3,Poder Judicial,23800.2975
2006,1,Poder Legislativo,7514.3724
2006,2,Presidencia de la República,2019.1925
2006,25,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",21098.1997
2006,17,Procuraduría General de la República,8862.4002
2006,39,Programa de Apoyos para el Fortalecimiento de las Entidades Federativas,54671.4688
2006,23,Provisiones Salariales y Económicas,50672.9516
2006,15,Reforma Agraria,4341.9205
2006,5,Relaciones Exteriores,5819.219
2006,12,Salud,41547.7117
2006,36,Seguridad Pública,8676.0297
2006,14,Trabajo y Previsión Social,3347.0663
2006,32,Tribunal Federal de Justicia Fiscal y Administrativa,1148.1574
2006,31,Tribunales Agrarios,584.2149
2006,21,Turismo,2005.2396
2007,30,Adeudos de Ejercicios Fiscales Anteriores,15943.3107
2007,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",57117.8116
2007,19,Aportaciones a Seguridad Social,211087.919
2007,33,Aportaciones Federales para Entidades Federativas y Municipios,356761.2737
2007,53,Comisión Federal de Electricidad,22195.29073
2007,35,Comisión Nacional de los Derechos Humanos,812.3785
2007,9,Comunicaciones y Transportes,74353.915
2007,37,Consejería Jurídica del Ejecutivo Federal,92.5449
2007,38,Consejo Nacional de Ciencia y Tecnología,9096.0951
2007,7,Defensa Nacional,34157.436
2007,20,Desarrollo Social,39543.6676
2007,24,Deuda Pública,178291.9443
2007,10,Economía,10228.2343
2007,11,Educación Pública,169854.1576
2007,18,Energía,47137.0343
2007,34,Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,28013.0434
2007,27,Función Pública,2012.1274
2007,4,Gobernación,5885.4796
2007,6,Hacienda y Crédito Público,36880.0886
2007,51,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,91911.9163
2007,22,Instituto Federal Electoral,7367.4872
2007,50,Instituto Mexicano del Seguro Social,252110.8687
2007,54,Luz y Fuerza del Centro,2790.82981
2007,13,Marina,12166.3647
2007,16,Medio Ambiente y Recursos Naturales,41096.3459
2007,28,Participaciones a Entidades Federativas y Municipios,332757.7431
2007,52,Petróleos Mexicanos,38599.1364
2007,3,Poder Judicial,25115.2488
2007,1,Poder Legislativo,7711.1689
2007,2,Presidencia de la República,1809.555
2007,25,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",21850.2265
2007,17,Procuraduría General de la República,9439.4657
2007,23,Provisiones Salariales y Económicas,136449.6473
2007,15,Reforma Agraria,4701.407
2007,5,Relaciones Exteriores,7096.998
2007,12,Salud,53144.032
2007,36,Seguridad Pública,17626.8841
2007,14,Trabajo y Previsión Social,3151.4174
2007,32,Tribunal Federal de Justicia Fiscal y Administrativa,1210.5125
2007,31,Tribunales Agrarios,709.1952
2007,21,Turismo,3095.7567
2008,1,Poder Legislativo,9318.462963
2008,2,Presidencia de la República,2171.748436
2008,3,Poder Judicial,29977.812395
2008,4,Gobernación,7249.106008
2008,5,Relaciones Exteriores,7483.58097
2008,6,Hacienda y Crédito Público,48843.675805
2008,7,Defensa Nacional,37122.428354
2008,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",64111.536678
2008,9,Comunicaciones y Transportes,48568.18721
2008,10,Economía,17384.944371
2008,11,Educación Pública,188378.741121
2008,12,Salud,69743.470263
2008,13,Marina,15155.207323
2008,14,Trabajo y Previsión Social,3959.365991
2008,15,Reforma Agraria,5052.27936
2008,16,Medio Ambiente y Recursos Naturales,38969.631145
2008,17,Procuraduría General de la República,8950.169194
2008,18,Energía,81117.755671
2008,19,Aportaciones a Seguridad Social,453884.357972
2008,20,Desarrollo Social,54126.529223
2008,21,Turismo,4865.026924
2008,22,Instituto Federal Electoral,8603.359528
2008,23,Provisiones Salariales y Económicas,251058.077646
2008,24,Deuda Pública,190732.26005
2008,25,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",23462.090364
2008,27,Función Pública,2484.197977
2008,28,Participaciones a Entidades Federativas y Municipios,423454.868318
2008,30,Adeudos de Ejercicios Fiscales Anteriores,15084.482255
2008,31,Tribunales Agrarios,843.624467
2008,32,Tribunal Federal de Justicia Fiscal y Administrativa,1359.786705
2008,33,Aportaciones Federales para Entidades Federativas y Municipios,396679.343398
2008,34,Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca,30042.625738
2008,35,Comisión Nacional de los Derechos Humanos,873.644279
2008,36,Seguridad Pública,21140.289127
2008,37,Consejería Jurídica del Ejecutivo Federal,444.245606
2008,38,Consejo Nacional de Ciencia y Tecnología,11772.437915
2008,40,Información Nacional Estadística y Geográfica,2222.479352
2009,1,Poder Legislativo,9559.425444
2009,2,Presidencia de la República,2515.598137
2009,3,Poder Judicial,31380.018211
2009,4,Gobernación,8822.423604
2009,5,Relaciones Exteriores,7688.53882
2009,6,Hacienda y Crédito Público,43771.237964
2009,7,Defensa Nacional,44956.101028
2009,8,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",68053.422556
2009,9,Comunicaciones y Transportes,63486.015054
2009,10,Economía,18384.373265
2009,11,Educación Pública,208757.537987
2009,12,Salud,80959.25596
2009,13,Marina,16322.001804
2009,14,Trabajo y Previsión Social,3992.650165
2009,15,Reforma Agraria,5234.40449
2009,16,Medio Ambiente y Recursos Naturales,45121.097547
2009,17,Procuraduría General de la República,10833.407365
2009,18,Energía,66195.35269
2009,19,Aportaciones a Seguridad Social,281172.679369
2009,20,Desarrollo Social,64000.630887
2009,21,Turismo,6211.789868
2009,22,Instituto Federal Electoral,11981.449301
2009,23,Provisiones Salariales y Económicas,63772.952922
2009,24,Deuda Pública,210662.455088
2009,25,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",26980.353087
2009,27,Función Pública,2649.753966
2009,28,Participaciones a Entidades Federativas y Municipios,375717.324319
