CICLO,ID_RAMO,DESC_RAMO,ID_MODALIDAD,DESC_MODALIDAD,EJERCIDO_MPD
2016,11,Educación Pública,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,9210.40780878
2016,11,Educación Pública,O,Apoyo a la función pública y al mejoramiento de la gestión,392.1807548
2016,11,Educación Pública,P,"Planeación, seguimiento y evaluación de políticas públicas",4254.20850184
2016,11,Educación Pública,R,Específicos,1945.53461427
2016,11,Educación Pública,S,Sujetos a Reglas de Operación,61053.451373150005
2016,11,Educación Pública,U,Otros Subsidios,111636.06607167
2016,12,Salud,E,Prestación de Servicios Públicos,30038.91263403
2016,12,Salud,G,Regulación y supervisión,1221.6937496300002
2016,12,Salud,K,Proyectos de Inversión,952.32719181
2016,12,Salud,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,3302.28858322
2016,12,Salud,O,Apoyo a la función pública y al mejoramiento de la gestión,318.66769296999996
2016,12,Salud,P,"Planeación, seguimiento y evaluación de políticas públicas",6967.00704102
2016,12,Salud,S,Sujetos a Reglas de Operación,9425.2604514
2016,12,Salud,U,Otros Subsidios,72114.80365603999
2016,13,Marina,A,Funciones de las Fuerzas Armadas,28321.171597880002
2016,13,Marina,K,Proyectos de Inversión,2681.39724
2016,13,Marina,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,1117.9023656400002
2016,14,Trabajo y Previsión Social,E,Prestación de Servicios Públicos,1970.30126894
2016,14,Trabajo y Previsión Social,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,429.41199722000005
2016,14,Trabajo y Previsión Social,O,Apoyo a la función pública y al mejoramiento de la gestión,36.959239079999996
2016,14,Trabajo y Previsión Social,P,"Planeación, seguimiento y evaluación de políticas públicas",883.7971551100001
2016,14,Trabajo y Previsión Social,S,Sujetos a Reglas de Operación,1563.9637151
2016,15,"Desarrollo Agrario, Territorial y Urbano",E,Prestación de Servicios Públicos,1432.66266619
2016,15,"Desarrollo Agrario, Territorial y Urbano",G,Regulación y supervisión,12.752977719999999
2016,15,"Desarrollo Agrario, Territorial y Urbano",L,Obligaciones de cumplimiento de resolución jurisdiccional,380.45644396
2016,15,"Desarrollo Agrario, Territorial y Urbano",M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,2693.72497159
2016,15,"Desarrollo Agrario, Territorial y Urbano",O,Apoyo a la función pública y al mejoramiento de la gestión,46.70813278
2016,15,"Desarrollo Agrario, Territorial y Urbano",P,"Planeación, seguimiento y evaluación de políticas públicas",2045.54677323
2016,15,"Desarrollo Agrario, Territorial y Urbano",S,Sujetos a Reglas de Operación,18936.65244169
2016,15,"Desarrollo Agrario, Territorial y Urbano",U,Otros Subsidios,543.4248173299999
2016,16,Medio Ambiente y Recursos Naturales,E,Prestación de Servicios Públicos,5270.0687593
2016,16,Medio Ambiente y Recursos Naturales,G,Regulación y supervisión,8955.79055637
